
NOTICE: Existing SQLite export found: HPML_Project/spec-decoding/llama3/llama3_profile_report.sqlite
        It is assumed file was previously exported from: HPML_Project/spec-decoding/llama3/llama3_profile_report.nsys-rep
        Consider using --force-export=true if needed.

Processing [HPML_Project/spec-decoding/llama3/llama3_profile_report.sqlite] with [/insomnia001/depts/edu/COMSE6998/ns3888/nsight-systems-2025.3.1/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)   Max (ns)   StdDev (ns)   Style                    Range                 
 --------  ---------------  ---------  --------  --------  --------  ----------  -----------  -------  ---------------------------------------
     52.9      259,795,822     15,648  16,602.5  12,943.0    10,761   4,983,996     40,167.7  PushPop  CCCL:cub::DeviceScan::InclusiveSumByKey
     47.1      231,716,518      7,634  30,353.2  17,996.5    13,596  90,787,162  1,038,900.5  PushPop  CCCL:cub::DeviceScan::InclusiveScan    

Processing [HPML_Project/spec-decoding/llama3/llama3_profile_report.sqlite] with [/insomnia001/depts/edu/COMSE6998/ns3888/nsight-systems-2025.3.1/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls      Avg (ns)         Med (ns)       Min (ns)       Max (ns)        StdDev (ns)              Name         
 --------  ---------------  ---------  ----------------  ---------------  -----------  ---------------  ----------------  ----------------------
     45.9  619,203,457,430        111   5,578,409,526.4  5,000,101,489.0       15,268   14,916,177,003   4,870,486,695.0  sem_timedwait         
     19.6  263,461,110,059         24  10,977,546,252.5         28,641.0        1,064  131,425,280,995  37,097,519,016.2  futex                 
     19.3  260,370,008,227      1,673     155,630,608.6    100,135,619.0        1,004    1,008,269,308     249,210,282.1  poll                  
      9.8  131,728,761,203        132     997,945,160.6     54,606,734.0        1,026    4,636,309,830   1,392,706,967.7  epoll_wait            
      3.0   39,792,385,484          4   9,948,096,371.0         53,717.5       37,542   39,792,240,507  19,896,096,090.7  pthread_cond_wait     
      2.0   27,277,141,224     16,439       1,659,294.4          7,088.0        1,002      310,727,291       6,785,583.3  read                  
      0.3    3,383,936,264      8,566         395,042.8        129,910.5        1,034        7,919,720         398,786.4  open64                
      0.1    1,105,268,119         37      29,872,111.3         76,996.0       13,564      976,665,858     160,748,106.1  sem_wait              
      0.0      359,898,126         45       7,997,736.1          9,420.0        1,955      102,620,914      23,961,435.5  munmap                
      0.0      222,129,909      1,059         209,754.4         11,597.0        1,010       22,840,323       1,053,093.9  ioctl                 
      0.0      200,224,803          1     200,224,803.0    200,224,803.0  200,224,803      200,224,803               0.0  select                
      0.0      137,988,191      8,084          17,069.3          4,247.5        1,001          729,568          19,286.6  close                 
      0.0       76,406,965        333         229,450.3         44,899.0        1,070       12,527,111         987,698.0  pthread_cond_timedwait
      0.0       53,596,180        149         359,705.9        168,991.0        1,185       12,394,562       1,472,230.6  pthread_rwlock_wrlock 
      0.0       46,639,473         82         568,774.1          3,393.5        1,125       11,792,112       2,508,487.5  fopen                 
      0.0       27,343,049         12       2,278,587.4      1,031,123.5        1,237       10,343,172       3,524,112.0  waitpid               
      0.0       20,553,351          4       5,138,337.8      4,462,986.5      543,682       11,083,696       5,372,611.0  fork                  
      0.0       20,016,607        289          69,261.6         10,708.0        1,012       17,634,407       1,036,851.1  fgets                 
      0.0       12,328,658         11       1,120,787.1         24,833.0        7,081       11,665,591       3,498,138.3  fopen64               
      0.0       11,551,834         19         607,991.3          4,903.0        1,125       11,339,522       2,598,936.8  open                  
      0.0       10,197,390        178          57,288.7         23,964.5        1,384        4,855,175         363,556.3  send                  
      0.0       10,130,431          2       5,065,215.5      5,065,215.5    5,059,118        5,071,313           8,623.2  nanosleep             
      0.0        9,573,375         57         167,953.9         13,859.0        1,003        7,945,209       1,050,635.4  pthread_mutex_lock    
      0.0        8,379,910      1,592           5,263.8          4,606.5        1,039           92,331           3,570.1  pthread_cond_signal   
      0.0        7,493,689        220          34,062.2         11,536.0        1,021          149,601          45,519.2  write                 
      0.0        6,693,216         22         304,237.1        280,381.5      222,894          539,377          84,360.7  pthread_create        
      0.0        3,258,839        214          15,228.2          7,483.0        2,417          770,001          53,302.7  mmap64                
      0.0        1,960,956          4         490,239.0        494,276.5      186,099          786,304         289,995.0  pthread_join          
      0.0        1,230,764         32          38,461.4         11,471.5        3,844          716,039         124,265.5  writev                
      0.0          359,585         26          13,830.2         11,082.5        2,211           55,745          12,528.1  mmap                  
      0.0          230,560          1         230,560.0        230,560.0      230,560          230,560               0.0  pthread_rwlock_rdlock 
      0.0          176,753          3          58,917.7         58,557.0       57,228           60,968           1,895.9  sleep                 
      0.0          154,685         56           2,762.2          2,367.5        1,034            8,746           1,529.6  recv                  
      0.0          148,082         44           3,365.5          1,486.0        1,002           50,853           7,638.9  fclose                
      0.0          110,715          7          15,816.4         12,173.0        8,785           36,264           9,655.6  connect               
      0.0           78,876         16           4,929.8          4,381.0        1,857            9,246           2,502.9  pipe2                 
      0.0           69,402         10           6,940.2          5,506.5        3,389           15,394           3,983.6  socket                
      0.0           54,075         16           3,379.7          2,206.5        1,227           16,183           3,869.1  statx                 
      0.0           48,969          5           9,793.8          9,478.0        2,866           21,526           7,690.8  mprotect              
      0.0           28,070          3           9,356.7          7,654.0        6,613           13,803           3,885.7  fread                 
      0.0           19,942          1          19,942.0         19,942.0       19,942           19,942               0.0  shutdown              
      0.0           16,912          8           2,114.0          1,708.5        1,202            5,387           1,346.2  epoll_ctl             
      0.0           15,191          3           5,063.7          4,480.0        2,810            7,901           2,595.2  bind                  
      0.0           14,286          2           7,143.0          7,143.0        6,286            8,000           1,212.0  accept4               
      0.0            8,226          2           4,113.0          4,113.0        4,093            4,133              28.3  fputs_unlocked        
      0.0            6,949          3           2,316.3          1,831.0        1,576            3,542           1,069.1  flock                 
      0.0            6,504          1           6,504.0          6,504.0        6,504            6,504               0.0  socketpair            
      0.0            5,343          2           2,671.5          2,671.5        2,187            3,156             685.2  fwrite                
      0.0            4,983          4           1,245.8          1,215.5        1,017            1,535             247.1  sigaction             
      0.0            4,878          2           2,439.0          2,439.0        2,242            2,636             278.6  stat64                
      0.0            4,715          4           1,178.8          1,136.5        1,008            1,434             194.8  fcntl                 
      0.0            4,423          3           1,474.3          1,274.0        1,081            2,068             523.1  pthread_mutex_trylock 
      0.0            2,963          2           1,481.5          1,481.5        1,303            1,660             252.4  listen                
      0.0            2,449          2           1,224.5          1,224.5        1,213            1,236              16.3  fstat64               
      0.0            2,327          1           2,327.0          2,327.0        2,327            2,327               0.0  openat64              
      0.0            2,042          1           2,042.0          2,042.0        2,042            2,042               0.0  pthread_cond_broadcast
      0.0            1,449          1           1,449.0          1,449.0        1,449            1,449               0.0  getentropy            
      0.0            1,131          1           1,131.0          1,131.0        1,131            1,131               0.0  signal                

Processing [HPML_Project/spec-decoding/llama3/llama3_profile_report.sqlite] with [/insomnia001/depts/edu/COMSE6998/ns3888/nsight-systems-2025.3.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)     Max (ns)     StdDev (ns)                        Name                      
 --------  ---------------  ---------  -----------  -----------  ---------  -------------  -----------  ------------------------------------------------
     46.3   19,892,731,935    101,744    195,517.5      5,543.0      2,779  1,162,317,734  6,647,620.0  cudaMemcpyAsync                                 
     44.8   19,257,660,536  4,424,462      4,352.5      3,760.0      2,762    120,076,569    120,275.2  cudaLaunchKernel                                
      6.8    2,941,570,558    689,751      4,264.7      3,849.0      3,142     11,576,605     16,565.8  cuLaunchKernelEx                                
