
NOTICE: Existing SQLite export found: spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite
        It is assumed file was previously exported from: spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.nsys-rep
        Consider using --force-export=true if needed.

Processing [spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite] with [/usr/local/cuda-12.4/nsight-systems-2023.4.4/host-linux-x64/reports/nvtx_sum.py]... 
SKIPPED: spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite] with [/usr/local/cuda-12.4/nsight-systems-2023.4.4/host-linux-x64/reports/osrt_sum.py]... 
SKIPPED: spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite does not contain OS Runtime trace data.

Processing [spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite] with [/usr/local/cuda-12.4/nsight-systems-2023.4.4/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                      Name                     
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ---------------------------------------------
     91.5      57794767230    1478807    39082.0    13486.0      9206   46149761     132738.5  cudaLaunchKernel                             
      7.8       4907886823      25450   192844.3    13149.5      4021  260756550    3064286.0  cudaMemcpyAsync                              
      0.4        260623766      35536     7334.1     7250.0      4094     111541       1872.4  cudaMemsetAsync                              
      0.1         88606389      10542     8405.1     5777.0      3176      96511      14118.0  cudaStreamSynchronize                        
      0.1         65002398      35436     1834.4     1628.0       547     114757       1071.8  cudaOccupancyMaxActiveBlocksPerMultiprocessor
      0.1         39249962      29764     1318.7     1280.0       659      20724        505.4  cudaStreamIsCapturing_v10000                 
      0.0         15625287          2  7812643.5  7812643.5   2143902   13481385    8016811.1  cudaFree                                     
      0.0          4829039         23   209958.2   169855.0      5140     769843     142469.6  cudaMalloc                                   
      0.0          1965131        103    19078.9    11058.0      4199    1090683     106698.8  cudaHostAlloc                                
      0.0          1047573        118     8877.7      753.5       392     244872      28811.8  cudaEventCreateWithFlags                     
      0.0           685155        100     6851.6     7604.0      4321      18066       2153.3  cudaDeviceSynchronize                        
      0.0           188547        768      245.5      191.0       112      14262        538.1  cuGetProcAddress                             
      0.0           110097          3    36699.0    34249.0     21333      54515      16726.1  cudaMemGetInfo                               
      0.0           104427        100     1044.3      719.5       687      28685       2799.5  cudaEventRecord                              
      0.0             6624          4     1656.0     1630.0       179       3185       1665.2  cuModuleGetLoadingMode                       
      0.0             6165          2     3082.5     3082.5      1693       4472       1965.0  cuInit                                       

Processing [spec-decoding/llama3/nsys/buggy/llama3_specdecode8-1_sampling_false_toks3_0.2_L4.sqlite] with [/usr/local/cuda-12.4/nsight-systems-2023.4.4/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     28.1      11381736666      23104   492630.6   492269.5    482302    505118       7371.8  ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn                                 
     21.7       8796458018      34720   253354.2   140992.0    139615    485213     158734.8  ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn                                           
     10.9       4403492328      31424   140131.5   142304.0    135007    154495       3958.9  void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Para…
      5.4       2188755366       1033  2118833.8  2117110.0   2108565   2166871      10128.5  void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (int)128, (int…
      5.2       2120666595      29872    70991.8    36864.0     36320    159871      48301.0  void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Para…
      4.6       1864389588       3200   582621.7   582317.0    567773    599037       6227.2  void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x64_32x4_tn_align8>(T1::Params)    
      4.3       1746104470        411  4248429.4  4247050.0   4230347   4277096       9598.8  ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x6_tn                                           
      3.6       1464727917       4896   299168.3   163807.0    156511    583262     193675.3  ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn                                         
      2.2        907578679      23104    39282.3    39072.0     38016     51583       1490.9  void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)          
      2.1        867531482       5776   150195.9   150175.0    148991    152032        435.5  ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn                                          
      1.0        421002394      11552    36444.1    36384.0     35967     37664        211.8  void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Para…
      1.0        413053298     159352     2592.1     2305.0      2015      5632        630.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.0        384827444      95456     4031.5     3680.0      2143      9632       1276.0  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>,…
      0.8        318631224       1696   187872.2   172047.5    164511    598269      78949.3  void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_tn_align8>(T1::Params)   
      0.8        307927913      97296     3164.9     2848.0      1792      5408        881.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.6        231678783      19970    11601.3    10400.0     10080   4132232      44900.1  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.6        229969245      60934     3774.1     3424.0      2720      9569       1299.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.4        181883161      63826     2849.7     2720.0      1440      7680        644.1  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.4        150565901      11552    13033.8    13024.0     12672     13504        100.9  fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::bfloat16…
      0.4        145822795       3264    44676.1    44575.0     38368     51904       2505.4  ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn                                 
      0.3        133277130      11552    11537.1    11520.0     11040     12447        231.0  void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)     
      0.3        129882599      59488     2183.3     2272.0      1631      3392        299.7  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.3        126735490      60934     2079.9     1920.0      1631      5216        663.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.3        125481253        816   153776.0   153696.0    152032    155680        734.6  ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_tn                                         
